Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000221,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,J
087970000223,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27196160,Wubben Sloopwerken B.V.,Nederland,Overzeelaan,5,,2681RZ,MONSTER,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000224,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27193383,Handels- en Transportbedrijf RVB 's-Gravenzande B.V.,Nederland,Zeilmakerstraat,6,,2694BS,'S-GRAVENZANDE,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000230,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27194586,Kiek van de Kamp B.V.,Nederland,Buijs Ballotstraat,11,,2693BD,'S-GRAVENZANDE,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000238,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27217019,Hordijk EPS Verpakkingen en Isolatieproducten B.V.,Nederland,Rotterdamseweg,248,,2628AS,DELFT,,Nederland,170405,ijzer en staal,ijzer,A02,Overslag / opbulken,N,N,N
087970000241,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,16027808,Gaming Support B.V.,Nederland,Industrieweg,29,,3044AS,ROTTERDAM,,Nederland,170407,gemengde metalen,Raffineer,A02,Overslag / opbulken,N,N,N
087970000241,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,16027808,Gaming Support B.V.,Nederland,Industrieweg,29,,3044AS,ROTTERDAM,,Nederland,170407,gemengde metalen,Raffineer,A02,Overslag / opbulken,N,N,N
087970000245,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,170402,aluminium,aluminium,A02,Overslag / opbulken,N,N,N
087970000246,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24148903,Loodgietersbedrijf A.J. de Geus B.V.,Nederland,Boterdiep,15,,3077AW,ROTTERDAM,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000251,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27217019,Hordijk EPS Verpakkingen en Isolatieproducten B.V.,Nederland,Rotterdamseweg,248,,2628AS,DELFT,,Nederland,170407,gemengde metalen,Raffineer,A02,Overslag / opbulken,N,N,N
